Run, SubRun, Event
6258 , 189 , 9319

16.1146 , -2.98089 , 0.72519
16.0552 , -2.99597 , 1.20405
15.9982 , -3.0104 , 1.66275
15.9402 , -3.02513 , 2.13053
15.8816 , -3.04 , 2.60307
15.8229 , -3.05488 , 3.0757
15.7634 , -3.06997 , 3.55521
15.7063 , -3.08446 , 4.01545
15.6487 , -3.09908 , 4.48008
15.5903 , -3.11389 , 4.95073
15.5312 , -3.12889 , 5.427
15.4715 , -3.14402 , 5.90767
15.4134 , -3.15875 , 6.37574
15.3569 , -3.17601 , 6.83713
15.2992 , -3.19399 , 7.30897
15.2415 , -3.21199 , 7.78092
15.1831 , -3.2302 , 8.25875
15.1243 , -3.24854 , 8.73957
15.0674 , -3.2663 , 9.20554
15.0105 , -3.28402 , 9.67042
14.9522 , -3.30221 , 10.1475
14.8951 , -3.32003 , 10.6148
14.8382 , -3.33775 , 11.0796
14.778 , -3.35653 , 11.5723
14.7219 , -3.37401 , 12.0306
14.6644 , -3.39196 , 12.5014
14.6065 , -3.41445 , 12.9961
14.4994 , -3.46429 , 13.9503
14.4479 , -3.48825 , 14.4092
14.3943 , -3.51321 , 14.887
14.342 , -3.53754 , 15.3531
14.2866 , -3.56333 , 15.8469
14.2338 , -3.58793 , 16.3179
14.1798 , -3.61306 , 16.7991
14.1278 , -3.63725 , 17.2622
14.0736 , -3.66246 , 17.745
14.02 , -3.68739 , 18.2224
13.9655 , -3.71278 , 18.7085
13.9097 , -3.74674 , 19.1767
13.8499 , -3.78637 , 19.6681
13.7924 , -3.82438 , 20.1394
13.7355 , -3.86203 , 20.6063
13.6715 , -3.9044 , 21.1318
13.6144 , -3.9422 , 21.6005
13.5559 , -3.9809 , 22.0803
13.4962 , -4.02041 , 22.5703
13.4366 , -4.05985 , 23.0592
13.3771 , -4.09923 , 23.5476
13.3196 , -4.1373 , 24.0196
13.2601 , -4.17667 , 24.5077
13.201 , -4.22768 , 24.9961
13.1406 , -4.28506 , 25.497
13.0815 , -4.34123 , 25.9872
13.0228 , -4.39697 , 26.4738
12.9628 , -4.45396 , 26.9713
12.9025 , -4.51129 , 27.4717
12.842 , -4.56878 , 27.9735
12.7833 , -4.62451 , 28.46
12.7235 , -4.68139 , 28.9565
12.6641 , -4.73776 , 29.4485
12.6041 , -4.79481 , 29.9465
12.5477 , -4.85268 , 30.4438
12.5213 , -4.91804 , 30.9404
12.4948 , -4.98338 , 31.4369
12.468 , -5.04981 , 31.9416
12.4413 , -5.11585 , 32.4435
12.4147 , -5.1816 , 32.9431
12.3883 , -5.24681 , 33.4386
12.3618 , -5.31241 , 33.937
12.3351 , -5.37856 , 34.4396
12.3081 , -5.44523 , 34.9463
12.282 , -5.50973 , 35.4364
12.2556 , -5.57508 , 35.9329
12.2261 , -5.6412 , 36.4426
12.192 , -5.70412 , 36.9433
12.1581 , -5.76673 , 37.4416
12.1246 , -5.82854 , 37.9335
12.0903 , -5.89187 , 38.4375
12.0572 , -5.95296 , 38.9237
12.0221 , -6.0177 , 39.4389
11.989 , -6.07871 , 39.9244
11.9553 , -6.14095 , 40.4197
11.9214 , -6.20351 , 40.9175
11.8537 , -6.32841 , 41.9116
11.8219 , -6.38906 , 42.4152
11.7959 , -6.44289 , 42.9052
11.7697 , -6.49726 , 43.4001
11.7434 , -6.5516 , 43.8948
11.7173 , -6.60573 , 44.3875
11.691 , -6.66007 , 44.8822
11.665 , -6.71393 , 45.3725
11.6382 , -6.76941 , 45.8775
11.6128 , -6.82212 , 46.3573
11.5861 , -6.87731 , 46.8597
11.5604 , -6.93048 , 47.3437
11.5341 , -6.98493 , 47.8393
11.5088 , -7.03527 , 48.328
11.4374 , -7.16525 , 49.7835
11.4133 , -7.20914 , 50.275
11.3893 , -7.25283 , 50.7643
11.3655 , -7.29609 , 51.2488
11.3418 , -7.3392 , 51.7315
11.3176 , -7.38323 , 52.2246
11.2937 , -7.42678 , 52.7123
11.2697 , -7.47035 , 53.2002
11.2458 , -7.51385 , 53.6873
11.2221 , -7.55563 , 54.1722
11.1989 , -7.58751 , 54.6515
11.1758 , -7.61936 , 55.1302
11.1523 , -7.65169 , 55.6162
11.1291 , -7.68357 , 56.0954
11.106 , -7.71534 , 56.5729
11.0828 , -7.74735 , 57.0541
11.0362 , -7.81143 , 58.0172
11.0131 , -7.84324 , 58.4954
10.9901 , -7.87497 , 58.9723
10.9668 , -7.90697 , 59.4533
10.9435 , -7.93904 , 59.9354
10.9266 , -7.96366 , 60.4138
10.912 , -7.98569 , 60.8857
10.8973 , -8.00783 , 61.3599
10.8825 , -8.03001 , 61.835
10.8678 , -8.0522 , 62.3104
10.853 , -8.0744 , 62.7859
10.8382 , -8.09662 , 63.2617
10.8236 , -8.11864 , 63.7334
10.8088 , -8.14081 , 64.2084
10.7941 , -8.16291 , 64.6818
10.7793 , -8.18521 , 65.1594
10.7646 , -8.20732 , 65.6331
10.7507 , -8.22819 , 66.1059
10.7409 , -8.24233 , 66.5754
10.7311 , -8.25654 , 67.0471
10.7214 , -8.27066 , 67.5159
10.7115 , -8.28492 , 67.9892
